Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
quantity,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
costPerUnit,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",cost_per_unit,,,,,,"@map(""cost_per_unit"") @db.Decimal(10, 2)",
totalCost,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",total_cost,,,,,,"@map(""total_cost"") @db.Decimal(10, 2)",
purchaseDate,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),purchase_date,,,,,,"@default(now()) @map(""purchase_date"") @db.Timestamptz(6)",
notes,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
referenceNo,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),reference_no,,,,,,"@map(""reference_no"") @db.VarChar(255)",
createdAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),created_at,,,,,,"@default(now()) @map(""created_at"") @db.Timestamptz(6)",
updatedAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,TRUE,now(),Timestamptz(6),updated_at,,,,,,"@default(now()) @updatedAt @map(""updated_at"") @db.Timestamptz(6)",
productId,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,product_id,,,,,,"@map(""product_id"")",
supplierId,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,supplier_id,,,,,,"@map(""supplier_id"")",
createdById,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,created_by,,,,,,"@map(""created_by"")",
createdBy,User,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,StockAdditionCreator,createdById,id,,NoAction,"@relation(""StockAdditionCreator"", fields: [createdById], references: [id], onUpdate: NoAction)",
product,Product,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,productId,id,Cascade,NoAction,"@relation(fields: [productId], references: [id], onDelete: Cascade, onUpdate: NoAction)",
supplier,Supplier,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,supplierId,id,,NoAction,"@relation(fields: [supplierId], references: [id], onUpdate: NoAction)",
