Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
subtotal,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
notes,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
wordpress_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,wordpress_id,,,,,,"@map(""wordpress_id"")",
created_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
discount_amount,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Decimal(10, 2)",,,,,,,"@default(0) @db.Decimal(10, 2)",
payment_method,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(50),,,,,,,@db.VarChar(50),
payment_status,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,"""pending""",VarChar(20),,,,,,,"@default(""pending"") @db.VarChar(20)",
tax_amount,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Decimal(10, 2)",,,,,,,"@default(0) @db.Decimal(10, 2)",
total_amount,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
transaction_number,String,scalar,FALSE,FALSE,FALSE,TRUE,FALSE,,VarChar(50),,,,,,,@unique @db.VarChar(50),
transaction_type,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,"""sale""",VarChar(20),,,,,,,"@default(""sale"") @db.VarChar(20)",
updated_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
user_id,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
customer_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
sales_items,SalesItem,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
customer,Customer,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,customer_id,id,,,"@relation(fields: [customer_id], references: [id])",
users,User,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,user_id,id,NoAction,NoAction,"@relation(fields: [user_id], references: [id], onDelete: NoAction, onUpdate: NoAction)",
split_payments,SplitPayment,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
transaction_payments,TransactionPayment,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
transaction_fees,TransactionFee,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
