Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
name,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
contactPerson,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),contact_person,,,,,,"@map(""contact_person"") @db.VarChar(255)",
email,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
phone,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(20),,,,,,,@db.VarChar(20),
address,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
city,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
state,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
website,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
notes,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
createdAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),created_at,,,,,,"@default(now()) @map(""created_at"") @db.Timestamptz(6)",
updatedAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,TRUE,now(),Timestamptz(6),updated_at,,,,,,"@default(now()) @updatedAt @map(""updated_at"") @db.Timestamptz(6)",
products,Product,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
stockAdditions,StockAddition,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
