Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
quantity,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
reason,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
notes,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
adjustment_type,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(50),,,,,,,@db.VarChar(50),
approved_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),,,,,,,@db.Timestamptz(6),
approved_by,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
created_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
new_quantity,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
old_quantity,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
product_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
reference_number,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
rejection_reason,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
status,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,"""PENDING""",VarChar(20),,,,,,,"@default(""PENDING"") @db.VarChar(20)",
updated_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
user_id,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
variant_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
products,Product,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,product_id,id,Cascade,NoAction,"@relation(fields: [product_id], references: [id], onDelete: Cascade, onUpdate: NoAction, map: ""fk_stock_adjustments_product_id"")",
users_stock_adjustments_user_idTousers,User,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,stock_adjustments_user_idTousers,user_id,id,,NoAction,"@relation(""stock_adjustments_user_idTousers"", fields: [user_id], references: [id], onUpdate: NoAction, map: ""fk_stock_adjustments_user_id"")",
product_variants,ProductVariant,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,variant_id,id,Cascade,NoAction,"@relation(fields: [variant_id], references: [id], onDelete: Cascade, onUpdate: NoAction, map: ""fk_stock_adjustments_variant_id"")",
users_stock_adjustments_approved_byTousers,User,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,stock_adjustments_approved_byTousers,approved_by,id,NoAction,NoAction,"@relation(""stock_adjustments_approved_byTousers"", fields: [approved_by], references: [id], onDelete: NoAction, onUpdate: NoAction)",
